Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Arsenal,15.1,4.2,1.4,9.5,7.08
2. Leicester,13.7,4.9,1.2,7.6,7.06
3. Tottenham,17.3,7.9,0.9,8.5,7.01
4. Manchester City,16.2,6.1,1.1,8.9,7.01
5. West Ham,14.7,6,1.2,7.5,6.92
6. Southampton,13.7,4.8,1,7.9,6.91
7. Liverpool,16.6,7.6,0.8,8.1,6.91
8. Everton,12.9,5.1,0.9,6.9,6.88
9. Chelsea,13.8,5.4,0.9,7.5,6.87
10. Manchester United,11.3,5.1,0.5,5.7,6.83
11. Watford,11.7,5.4,0.5,5.8,6.80
12. Crystal Palace,12.3,5.1,1,6.2,6.76
13. Sunderland,11.6,5.2,0.7,5.6,6.76
14. Swansea,11.6,5.4,0.5,5.7,6.75
15. Stoke,11,5.3,0.7,5.1,6.74
16. Newcastle United,10.4,3.6,0.5,6.3,6.73
17. West Bromwich Albion,10.2,4.1,1.3,4.9,6.72
18. Bournemouth,12.2,5.7,0.5,6.1,6.71
19. Aston Villa,10,4.7,0.4,4.9,6.69
20. Norwich,11,4.9,0.8,5.3,6.61
