R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Aston Villa,51,2,16,3,4
2,Bournemouth,46,1,16,4,0
3,Sunderland,44,2,8,7,1
4,Norwich,44,3,9,9,2
5,Newcastle United,41,3,15,4,2
6,Chelsea,36,3,9,3,2
7,Everton,35,1,13,5,1
8,Crystal Palace,35,2,6,4,4
9,Watford,34,1,9,4,2
10,Stoke,34,2,14,5,0
11,West Ham,33,2,8,6,2
12,Liverpool,32,0,15,2,1
13,West Bromwich Albion,29,2,9,5,3
14,Swansea,27,0,18,2,5
15,Southampton,24,4,12,1,0
16,Manchester City,24,1,14,1,1
17,Arsenal,22,2,8,1,3
18,Tottenham,22,2,6,2,3
19,Leicester,20,2,10,4,0
20,Manchester United,18,2,11,2,2
