Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Lille,10.4,20.2,18,13.7,2.2,6.91
2. Marseille,10.6,19.5,19.1,16.4,1.8,6.90
3. Nancy,12.2,19.4,17.8,15.8,1.3,6.88
4. Sochaux,15.1,17.6,12.2,15.1,1.8,6.88
5. Caen,15.1,21.6,20.3,18.3,2.5,6.84
6. Brest,12.4,23.4,20.5,16.9,2.4,6.84
7. Lorient,11.9,18.5,14.6,11.8,2.1,6.83
8. Paris Saint-Germain,12.9,19.3,16.6,14.7,2.3,6.83
9. Rennes,11.4,21.3,17.3,16,1.9,6.82
10. Bordeaux,9.6,17.6,17.6,16.1,1.8,6.82
11. Lyon,10.8,21.2,14,16,2.6,6.81
12. Toulouse,10.4,19.9,19.9,19.4,2,6.79
13. Valenciennes,13.7,22.2,15.6,15.7,2.2,6.79
14. Auxerre,13.1,17.6,17.4,14.8,2,6.78
15. Lens,12.9,20.8,20.1,16.4,2.7,6.76
16. Saint-Etienne,13.9,20.3,16.3,15.8,2,6.75
17. Monaco,14,17.8,17.5,16.6,2.3,6.75
18. Montpellier,9.9,20.2,15.4,18.6,2.9,6.74
19. Nice,13.2,21.3,13.7,13.6,2.8,6.74
20. Arles-Avignon,14.9,21.5,22.9,17.3,2.4,6.63
