R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Napoli,20,3,56,605
2,Fiorentina,19,4,56,530
3,Roma,22,2,64,467
4,Juventus,21,2,58,466
5,Empoli,15,1,53,439
6,Inter,24,1,61,435
7,Lazio,28,1,71,402
8,AC Milan,21,1,64,386
9,Sassuolo,22,1,71,371
10,Sampdoria,16,1,71,368
11,Genoa,21,1,65,353
12,Bologna,17,1,72,349
13,Torino,20,1,66,346
14,Atalanta,25,1,73,337
15,Chievo,19,0,71,328
16,Verona,25,1,69,308
17,Udinese,23,1,70,306
18,Palermo FC,22,1,65,306
19,Carpi,20,1,68,257
20,Frosinone,19,1,68,240
