R,Team,Own Third,Middle Third,Opposition Third
1,Frosinone,32%,42%,26%
2,Torino,30%,47%,23%
3,Sampdoria,30%,44%,26%
4,Verona,29%,44%,27%
5,Chievo,29%,47%,24%
6,Bologna,28%,47%,26%
7,Udinese,28%,46%,26%
8,Sassuolo,28%,44%,28%
9,Atalanta,28%,46%,26%
10,Palermo FC,28%,46%,26%
11,Genoa,28%,45%,28%
12,Carpi,28%,45%,27%
13,Inter,27%,46%,27%
14,Empoli,27%,47%,26%
15,AC Milan,26%,45%,28%
16,Lazio,25%,47%,29%
17,Fiorentina,25%,47%,28%
18,Roma,25%,45%,30%
19,Juventus,24%,47%,29%
20,Napoli,21%,49%,29%
