R,Team,Fouls,Unprofessional,Dive,Other
1,Carpi,95,4,0,17
2,Udinese,85,3,0,20
3,Atalanta,85,4,0,29
4,Chievo,81,7,0,22
5,Verona,80,3,0,17
6,Lazio,80,7,0,25
7,Sampdoria,79,7,0,27
8,Fiorentina,78,6,0,14
9,Frosinone,78,9,0,29
10,Torino,77,2,0,21
11,Bologna,75,6,0,19
12,Palermo FC,75,7,0,23
13,Inter,73,4,0,31
14,Empoli,72,6,0,24
15,Juventus,72,4,0,23
16,Genoa,72,6,0,17
17,Sassuolo,70,5,0,25
18,AC Milan,69,6,0,22
19,Roma,59,6,0,22
20,Napoli,52,3,0,18
