R,Team,Left Side,Attempts from the middle,Right Side
1,Lyon,24%,60%,16%
2,Nimes,24%,55%,21%
3,Reims,24%,59%,17%
4,Angers,23%,63%,14%
5,Amiens,22%,59%,19%
6,Paris Saint-Germain,21%,63%,17%
7,Rennes,21%,58%,21%
8,Guingamp,20%,61%,19%
9,Nice,20%,63%,17%
10,Caen,20%,66%,14%
11,Saint-Etienne,19%,62%,19%
12,Dijon,19%,65%,17%
13,Bordeaux,19%,64%,17%
14,Toulouse,18%,68%,15%
15,Nantes,17%,66%,16%
16,Montpellier,17%,62%,20%
17,Monaco,16%,66%,18%
18,Lille,16%,65%,19%
19,Marseille,15%,69%,16%
20,Strasbourg,14%,67%,18%
