R,Team,Left Side,Attempts from the middle,Right Side
1,Nice,24%,59%,18%
2,Lyon,23%,60%,17%
3,Saint-Etienne,22%,63%,15%
4,Amiens,22%,61%,18%
5,Toulouse,22%,60%,18%
6,Marseille,22%,58%,20%
7,Angers,22%,60%,19%
8,Strasbourg,21%,64%,16%
9,Lille,21%,64%,15%
10,Paris Saint-Germain,20%,59%,21%
11,Reims,20%,64%,16%
12,Dijon,20%,61%,19%
13,Nantes,18%,63%,19%
14,Caen,18%,66%,17%
15,Rennes,18%,65%,17%
16,Monaco,17%,65%,18%
17,Montpellier,17%,63%,21%
18,Nimes,16%,67%,17%
19,Guingamp,15%,71%,14%
20,Bordeaux,14%,69%,18%
