R,Team,Left Side,Middle of the pitch,Right Side
1,Real Madrid,41%,23%,36%
2,Leganes,41%,22%,37%
3,Rayo Vallecano,40%,23%,37%
4,Levante,39%,24%,37%
5,Villarreal,39%,25%,36%
6,Real Valladolid,38%,23%,39%
7,Deportivo Alaves,37%,26%,37%
8,Getafe,37%,23%,40%
9,Atletico Madrid,37%,26%,37%
10,SD Huesca,37%,27%,36%
11,Girona,37%,27%,36%
12,Real Sociedad,36%,25%,39%
13,Athletic Bilbao,35%,23%,42%
14,Valencia,35%,27%,38%
15,Sevilla,35%,24%,41%
16,Barcelona,35%,31%,34%
17,Eibar,35%,25%,40%
18,Real Betis,34%,28%,39%
19,Celta Vigo,33%,27%,40%
20,Espanyol,33%,27%,40%
