R,Team,Left Side,Attempts from the middle,Right Side
1,Rayo Vallecano,27%,58%,14%
2,Real Valladolid,24%,59%,17%
3,Real Madrid,21%,62%,16%
4,Valencia,19%,64%,17%
5,Real Sociedad,19%,68%,14%
6,Celta Vigo,19%,60%,21%
7,Leganes,19%,66%,15%
8,Villarreal,19%,61%,19%
9,Levante,19%,64%,18%
10,Athletic Bilbao,18%,67%,15%
11,Real Betis,18%,60%,22%
12,Sevilla,18%,66%,16%
13,Barcelona,18%,69%,13%
14,Espanyol,18%,63%,19%
15,Getafe,17%,67%,15%
16,Atletico Madrid,17%,60%,23%
17,Deportivo Alaves,17%,67%,15%
18,SD Huesca,17%,68%,15%
19,Girona,13%,72%,15%
20,Eibar,12%,70%,18%
