R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,10,4,51,619
2,Real Madrid,20,2,63,533
3,Real Betis,16,1,53,515
4,Atletico Madrid,16,2,58,405
5,Celta Vigo,17,1,61,397
6,Real Sociedad,17,2,61,387
7,Sevilla,22,1,66,386
8,Espanyol,14,2,61,370
9,Valencia,19,1,61,364
10,Villarreal,16,1,63,364
11,Athletic Bilbao,19,1,68,352
12,Girona,20,1,66,346
13,Eibar,28,1,89,342
14,Rayo Vallecano,21,1,60,326
15,Real Valladolid,21,1,72,315
16,Levante,18,1,62,289
17,Leganes,20,1,73,284
18,SD Huesca,20,1,67,282
19,Deportivo Alaves,19,1,69,259
20,Getafe,17,1,79,219
