R,Team,Own Third,Middle Third,Opposition Third
1,Rayo Vallecano,31%,44%,25%
2,Espanyol,31%,43%,26%
3,Levante,31%,43%,27%
4,Girona,31%,45%,24%
5,Real Valladolid,30%,44%,25%
6,Real Sociedad,30%,45%,25%
7,Deportivo Alaves,29%,45%,26%
8,Valencia,29%,45%,27%
9,Celta Vigo,29%,45%,26%
10,SD Huesca,29%,44%,28%
11,Villarreal,29%,44%,27%
12,Real Betis,28%,44%,28%
13,Sevilla,28%,43%,29%
14,Leganes,27%,46%,27%
15,Athletic Bilbao,26%,45%,29%
16,Atletico Madrid,26%,45%,29%
17,Real Madrid,25%,44%,31%
18,Getafe,25%,45%,30%
19,Barcelona,25%,45%,31%
20,Eibar,20%,43%,37%
