Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Barcelona,16.5,5.5,1.1,10,7.25
2. Real Madrid,19.3,8.4,0.9,9.9,7.19
3. Malaga,14,5.7,1,7.3,6.96
4. Real Sociedad,12.6,5.1,0.7,6.9,6.95
5. Sevilla,15.4,5.6,1.1,8.7,6.94
6. Real Betis,13.6,6.6,0.7,6.3,6.93
7. Athletic Bilbao,12.2,4.6,1,6.6,6.93
8. Atletico Madrid,15.3,5.9,1,8.5,6.91
9. Valencia,13.4,5.1,1.1,7.3,6.90
10. Levante,10.3,4.8,0.8,4.8,6.90
11. Villarreal,12,5.2,0.6,6.2,6.89
12. Osasuna,12.3,5.6,0.5,6.2,6.87
13. Mallorca,11.5,5.1,0.4,6,6.87
14. Rayo Vallecano,12.9,5.1,0.8,7,6.87
15. Espanyol,13.1,6.4,0.7,6,6.83
16. Real Zaragoza,11.4,5.7,0.6,5.2,6.81
17. Getafe,9.8,4.3,0.4,5.1,6.81
18. Sporting Gijon,12.2,5.9,0.7,5.7,6.81
19. Granada,13,6.6,0.6,5.8,6.77
20. Racing Santander,9.4,4.1,0.6,4.8,6.74
