Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,7.3,19.9,19.2,10.7,3.5,7.25
2. Real Madrid,10.2,21.8,16.3,13.8,3.5,7.19
3. Malaga,10.6,23.9,30.9,11.3,2.2,6.96
4. Real Sociedad,14.2,24.5,36.3,12.1,2.6,6.95
5. Sevilla,12.5,20.7,25,13.1,2.1,6.94
6. Athletic Bilbao,15,24.7,31.6,14.5,3.4,6.93
7. Real Betis,13.1,21.9,34.4,14.4,2.2,6.93
8. Atletico Madrid,11.5,24.4,27.6,18,3.1,6.91
9. Valencia,11.9,20.1,26.7,16.9,2.9,6.90
10. Levante,14.3,23.7,33.6,12.7,2.6,6.90
11. Villarreal,12.9,24.2,33.2,14.2,2.8,6.89
12. Mallorca,13.6,23.1,33.6,17.8,2.4,6.87
13. Rayo Vallecano,12.3,24.1,35.9,16.2,3.4,6.87
14. Osasuna,14.1,24,34.4,15.3,2.3,6.87
15. Espanyol,12.5,23.1,28.2,15.4,2.2,6.83
16. Real Zaragoza,13.9,24.1,36.8,17.6,3.2,6.81
17. Getafe,13.6,22,32.7,15.2,2.7,6.81
18. Sporting Gijon,14.8,27.2,33.3,16.9,2.4,6.81
19. Granada,15.2,21,28.3,11.6,2.4,6.77
20. Racing Santander,16.6,21.2,29.8,16,2.4,6.74
