R,Team,Left Side,Attempts from the middle,Right Side
1,Real Betis,26%,60%,15%
2,Real Madrid,25%,57%,18%
3,Real Zaragoza,24%,55%,21%
4,Malaga,24%,63%,13%
5,Espanyol,23%,58%,19%
6,Villarreal,23%,59%,18%
7,Sporting Gijon,22%,54%,23%
8,Athletic Bilbao,21%,63%,16%
9,Racing Santander,21%,63%,15%
10,Barcelona,21%,64%,15%
11,Granada,20%,55%,24%
12,Rayo Vallecano,19%,61%,20%
13,Sevilla,18%,63%,19%
14,Real Sociedad,18%,63%,19%
15,Osasuna,18%,61%,21%
16,Levante,18%,62%,21%
17,Mallorca,17%,59%,24%
18,Atletico Madrid,17%,65%,18%
19,Valencia,17%,64%,19%
20,Getafe,16%,67%,17%
