R,Team,Own Third,Middle Third,Opposition Third
1,Granada,32%,43%,25%
2,Villarreal,31%,43%,26%
3,Racing Santander,30%,45%,25%
4,Getafe,30%,45%,24%
5,Levante,30%,42%,26%
6,Athletic Bilbao,29%,44%,27%
7,Real Sociedad,29%,45%,26%
8,Real Zaragoza,29%,45%,27%
9,Osasuna,29%,45%,27%
10,Sporting Gijon,29%,45%,27%
11,Mallorca,28%,45%,27%
12,Valencia,28%,42%,29%
13,Rayo Vallecano,28%,42%,29%
14,Sevilla,28%,45%,27%
15,Real Betis,27%,45%,27%
16,Espanyol,27%,44%,28%
17,Atletico Madrid,25%,44%,30%
18,Malaga,24%,45%,30%
19,Real Madrid,23%,45%,32%
20,Barcelona,19%,47%,33%
