Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,16.5,7.6,13.2,15.9,7.25
2. Real Madrid,19.3,7.9,9.3,14.6,7.19
3. Malaga,14,5.4,8.1,16.8,6.96
4. Real Sociedad,12.6,3.9,5.5,14.3,6.95
5. Sevilla,15.4,5.4,6.9,14,6.94
6. Athletic Bilbao,12.2,4.2,5.1,14.9,6.93
7. Real Betis,13.6,4.3,7.8,13.2,6.93
8. Atletico Madrid,15.3,5.6,7,13.5,6.91
9. Valencia,13.4,4.7,6.2,12.5,6.90
10. Levante,10.3,3.8,5.9,12.5,6.90
11. Villarreal,12,4.6,7.2,14.6,6.89
12. Mallorca,11.5,3.8,4.5,10.4,6.87
13. Rayo Vallecano,12.9,5,5.6,13.7,6.87
14. Osasuna,12.3,4.4,4.1,12.6,6.87
15. Espanyol,13.1,4.5,5.8,14.3,6.83
16. Real Zaragoza,11.4,3.8,4.6,13.2,6.81
17. Getafe,9.8,3.1,4.5,13.2,6.81
18. Sporting Gijon,12.2,3.9,6.3,14.4,6.81
19. Granada,13,4.3,6.6,13.5,6.77
20. Racing Santander,9.4,3.1,3.8,14.6,6.74
