R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Real Zaragoza,8%,56%,36%
2,Rayo Vallecano,8%,52%,40%
3,Barcelona,8%,49%,43%
4,Racing Santander,7%,49%,44%
5,Sevilla,7%,46%,47%
6,Osasuna,7%,50%,43%
7,Sporting Gijon,7%,54%,39%
8,Villarreal,7%,52%,42%
9,Mallorca,6%,47%,46%
10,Valencia,6%,50%,44%
11,Getafe,6%,50%,44%
12,Athletic Bilbao,5%,46%,50%
13,Espanyol,5%,55%,40%
14,Malaga,5%,47%,48%
15,Real Sociedad,5%,51%,44%
16,Levante,5%,44%,51%
17,Real Madrid,4%,51%,46%
18,Real Betis,4%,57%,39%
19,Atletico Madrid,4%,49%,47%
20,Granada,4%,51%,44%
