R,Team,Left Side,Attempts from the middle,Right Side
1,Bordeaux,25%,56%,19%
2,Rennes,22%,59%,19%
3,Angers,22%,63%,15%
4,Monaco,21%,63%,16%
5,Strasbourg,20%,61%,19%
6,Lyon,20%,57%,23%
7,Amiens,20%,63%,17%
8,Toulouse,20%,64%,16%
9,Montpellier,20%,62%,19%
10,Paris Saint-Germain,20%,62%,18%
11,Metz,20%,64%,16%
12,Nice,20%,64%,16%
13,Dijon,20%,62%,18%
14,Marseille,19%,63%,19%
15,Saint-Etienne,18%,69%,13%
16,Brest,18%,67%,15%
17,Reims,18%,64%,18%
18,Nimes,17%,67%,16%
19,Nantes,17%,66%,17%
20,Lille,13%,67%,20%
