Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,9.9,17.9,9.4,12.3,2.1,7.11
2. Lyon,11.1,17.6,11.1,12.2,0.9,6.84
3. Marseille,9.9,20.1,11.2,13.4,0.8,6.82
4. Rennes,12.8,17.9,9.7,13.8,1.4,6.80
5. Monaco,13.1,18,10,12,1.6,6.74
6. Montpellier,13.3,16,11,15,1.5,6.74
7. Nice,14,16.8,12.1,10.5,0.8,6.74
8. Reims,10.1,17.5,11.8,13.7,1.6,6.74
9. Strasbourg,10.2,17.5,11.1,13.6,1.2,6.72
10. Nantes,10.8,19.5,10.9,13.4,1.6,6.72
11. Metz,13.9,18.8,11.1,12,1.1,6.72
12. Bordeaux,12.9,17.3,10.8,13.5,1.4,6.72
13. Lille,9.9,15.1,9.9,13.8,2.1,6.72
14. Dijon,14.2,18.5,11.9,12.5,1.1,6.69
15. Brest,14.8,17.3,12.6,11.8,1.3,6.68
16. Angers,9.6,15.7,9.6,12,1,6.65
17. Nimes,12.6,19.7,11.8,12.9,1.4,6.64
18. Saint-Etienne,11.6,18.3,13.4,13.3,1.5,6.60
19. Toulouse,14.8,19.6,11.4,14.1,1.1,6.51
20. Amiens,14.6,15.2,10.8,14.4,1.3,6.50
