R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Paris Saint-Germain,13%,61%,27%
2,Montpellier,8%,50%,43%
3,Nice,8%,50%,43%
4,Strasbourg,7%,55%,38%
5,Lyon,7%,50%,43%
6,Monaco,7%,61%,32%
7,Toulouse,7%,53%,40%
8,Rennes,7%,48%,45%
9,Bordeaux,7%,45%,49%
10,Saint-Etienne,6%,54%,41%
11,Amiens,6%,52%,42%
12,Nimes,6%,47%,46%
13,Marseille,5%,49%,46%
14,Brest,5%,56%,39%
15,Metz,5%,45%,50%
16,Nantes,4%,48%,47%
17,Lille,4%,59%,37%
18,Angers,4%,49%,46%
19,Reims,4%,56%,39%
20,Dijon,3%,57%,39%
