R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,53,10,12,7,1
2,Chelsea,52,1,15,4,1
3,Arsenal,45,2,16,6,2
4,Manchester United,43,2,12,3,2
5,Southampton,41,0,6,2,5
6,Stoke,37,1,6,3,1
7,Tottenham,36,2,15,3,2
8,Swansea,36,1,4,2,3
9,Liverpool,35,2,6,5,4
10,Newcastle United,31,1,7,1,0
11,West Ham,29,1,12,1,1
12,Leicester,27,3,12,3,1
13,Everton,26,5,11,4,2
14,Queens Park Rangers,23,1,12,3,3
15,Hull,22,2,7,1,1
16,Crystal Palace,22,0,19,5,1
17,Burnley,19,0,7,1,1
18,Aston Villa,18,2,10,1,0
19,Sunderland,15,2,9,4,1
20,West Bromwich Albion,13,1,19,4,1
