R,Team,Fouls,Unprofessional,Dive,Other
1,Sunderland,79,1,3,14
2,Queens Park Rangers,67,2,0,11
3,Stoke,64,0,1,19
4,Manchester City,63,0,2,16
5,Tottenham,59,2,1,22
6,Arsenal,56,4,1,10
7,Newcastle United,56,4,0,18
8,Liverpool,56,5,1,9
9,Hull,56,6,0,18
10,Manchester United,54,1,2,14
11,Burnley,53,1,2,11
12,West Ham,52,3,1,11
13,Aston Villa,51,6,0,23
14,Everton,51,5,1,13
15,Swansea,47,1,0,8
16,Chelsea,46,8,5,19
17,Southampton,46,2,0,13
18,West Bromwich Albion,46,3,2,16
19,Crystal Palace,45,2,2,22
20,Leicester,40,2,0,12
