R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,VfB Stuttgart,53,1,10,2,4
2,Hannover 96,48,3,13,6,1
3,Nuernberg,45,7,12,2,2
4,Fortuna Duesseldorf,43,6,9,7,0
5,Augsburg,42,9,17,1,2
6,Freiburg,38,4,12,7,0
7,Eintracht Frankfurt,38,1,7,1,1
8,Hertha Berlin,38,4,9,4,2
9,Wolfsburg,37,3,6,4,0
10,Schalke 04,36,6,7,5,1
11,Mainz 05,36,7,11,3,0
12,Hoffenheim,32,3,9,7,1
13,Werder Bremen,30,6,9,4,0
14,Borussia M.Gladbach,28,6,5,3,0
15,Bayer Leverkusen,26,6,13,4,3
16,Borussia Dortmund,25,2,13,4,0
17,Bayern Munich,18,4,4,5,1
18,RB Leipzig,14,4,5,5,1
