R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,65,3,15,3,2
2,Borussia Dortmund,54,9,13,4,1
3,Bayer Leverkusen,47,5,12,4,1
4,Hoffenheim,47,9,7,6,1
5,RB Leipzig,45,3,10,5,0
6,Werder Bremen,40,4,9,4,1
7,Borussia M.Gladbach,38,3,8,4,2
8,Wolfsburg,37,7,10,5,3
9,Eintracht Frankfurt,37,9,10,4,0
10,Mainz 05,31,2,8,3,2
11,Hertha Berlin,29,5,11,4,0
12,Augsburg,27,3,15,5,1
13,Fortuna Duesseldorf,27,11,5,5,1
14,Freiburg,25,2,12,5,2
15,Schalke 04,22,1,7,7,0
16,VfB Stuttgart,22,1,8,1,0
17,Hannover 96,20,3,4,3,1
18,Nuernberg,14,2,7,2,1
