R,Team,Left Side,Attempts from the middle,Right Side
1,Wolfsburg,21%,62%,17%
2,Bayern Munich,19%,66%,15%
3,Werder Bremen,19%,63%,18%
4,Schalke 04,19%,64%,17%
5,Hertha Berlin,19%,69%,12%
6,Borussia M.Gladbach,18%,69%,14%
7,RB Leipzig,18%,68%,14%
8,Bayer Leverkusen,17%,66%,16%
9,VfB Stuttgart,17%,66%,16%
10,Freiburg,17%,66%,17%
11,Eintracht Frankfurt,17%,68%,15%
12,Hoffenheim,17%,65%,18%
13,Hannover 96,16%,68%,16%
14,Nuernberg,16%,68%,17%
15,Fortuna Duesseldorf,16%,67%,16%
16,Borussia Dortmund,15%,67%,18%
17,Mainz 05,15%,67%,18%
18,Augsburg,15%,70%,15%
