R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,23,1,60,599
2,Borussia Dortmund,13,2,53,562
3,Bayer Leverkusen,19,1,60,548
4,Borussia M.Gladbach,17,1,59,465
5,Werder Bremen,20,1,62,434
6,Hoffenheim,20,1,56,433
7,RB Leipzig,18,2,58,393
8,Wolfsburg,20,1,76,386
9,Hertha Berlin,16,1,68,369
10,Hannover 96,15,0,66,341
11,Mainz 05,19,1,70,338
12,VfB Stuttgart,21,1,67,337
13,Augsburg,18,1,69,334
14,Freiburg,16,1,69,333
15,Eintracht Frankfurt,20,2,69,326
16,Fortuna Duesseldorf,16,1,68,326
17,Schalke 04,15,1,63,325
18,Nuernberg,15,1,64,318
