R,Team,Own Third,Middle Third,Opposition Third
1,Nuernberg,31%,46%,22%
2,Wolfsburg,30%,44%,26%
3,Hannover 96,30%,47%,24%
4,Freiburg,30%,46%,25%
5,Fortuna Duesseldorf,30%,48%,23%
6,VfB Stuttgart,28%,46%,26%
7,Augsburg,28%,46%,26%
8,Borussia M.Gladbach,27%,47%,26%
9,Hoffenheim,27%,45%,28%
10,Schalke 04,26%,46%,28%
11,Werder Bremen,26%,47%,27%
12,Mainz 05,26%,45%,29%
13,Eintracht Frankfurt,26%,46%,29%
14,Hertha Berlin,26%,49%,24%
15,Bayer Leverkusen,25%,48%,26%
16,Borussia Dortmund,24%,48%,27%
17,RB Leipzig,22%,47%,32%
18,Bayern Munich,21%,45%,34%
