R,Team,Fouls,Unprofessional,Dive,Other
1,Schalke 04,54,7,0,16
2,Hoffenheim,52,2,0,15
3,Fortuna Duesseldorf,51,6,0,11
4,Hertha Berlin,50,2,0,17
5,VfB Stuttgart,49,7,0,13
6,Werder Bremen,48,3,0,13
7,Nuernberg,48,3,0,11
8,Wolfsburg,47,4,0,11
9,Freiburg,45,3,0,9
10,Mainz 05,45,5,0,6
11,Augsburg,44,4,0,8
12,Hannover 96,42,6,0,18
13,Eintracht Frankfurt,42,2,0,17
14,RB Leipzig,42,6,0,14
15,Borussia M.Gladbach,39,1,0,3
16,Bayer Leverkusen,35,5,0,11
17,Borussia Dortmund,29,4,0,10
18,Bayern Munich,28,5,0,11
