Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,18.7,7.6,12.5,10.1,7.03
2. RB Leipzig,14.6,5.4,9.2,11.6,6.96
3. Borussia Dortmund,13.2,5.4,12.9,11.3,6.93
4. Bayer Leverkusen,15.2,5.8,9.6,11.3,6.88
5. Hoffenheim,18,6.6,10.5,10.2,6.87
6. Eintracht Frankfurt,12.4,4.5,8.6,10.2,6.83
7. Wolfsburg,12.5,4.9,7.5,12.9,6.81
8. Borussia M.Gladbach,13.5,4.7,8.3,10.5,6.76
9. Werder Bremen,13.9,5.2,6.5,10.2,6.75
10. Hertha Berlin,11.9,4.4,9,11,6.74
11. Mainz 05,14.6,4.4,9.3,10.6,6.70
12. Fortuna Duesseldorf,12.3,4.7,6.8,11.9,6.67
13. Schalke 04,12.2,3.9,10.5,11.7,6.65
14. Augsburg,13.4,4.8,6.4,10.3,6.65
15. Freiburg,12.5,4.8,6.9,12,6.64
16. VfB Stuttgart,12,3.4,7,11.7,6.57
17. Hannover 96,11.3,3.6,8.1,12.4,6.57
18. Nuernberg,10.6,3.1,7.4,11.2,6.49
