Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,88,18.7,402,62.2,87.5,15.7,7.03
2. RB Leipzig,63,14.6,611,49.5,75.3,22.4,6.96
3. Borussia Dortmund,81,13.2,403,56.8,86.0,14,6.93
4. Bayer Leverkusen,69,15.2,501,57.7,84.4,16.6,6.88
5. Hoffenheim,70,18,652,52.8,82.0,15.9,6.87
6. Eintracht Frankfurt,60,12.4,563,47.6,73.1,24.6,6.83
7. Wolfsburg,62,12.5,620,52.5,78.6,18.9,6.81
8. Borussia M.Gladbach,55,13.5,430,52.3,84.3,13.2,6.76
9. Werder Bremen,58,13.9,583,51.2,80.0,18.1,6.75
10. Hertha Berlin,49,11.9,615,48.6,78.4,20.9,6.74
11. Mainz 05,46,14.6,560,46.9,77.1,19.6,6.70
12. Fortuna Duesseldorf,49,12.3,671,44.4,77.4,18.7,6.67
13. Schalke 04,37,12.2,715,46.9,76.3,18,6.65
14. Augsburg,51,13.4,551,46.8,74.5,20,6.65
15. Freiburg,46,12.5,513,45.4,78.2,16.9,6.64
16. VfB Stuttgart,32,12,625,46.8,75.7,21.9,6.57
17. Hannover 96,31,11.3,594,47.4,76.8,18.6,6.57
18. Nuernberg,26,10.6,574,44.1,76.0,19,6.49
