Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,18.7,6,2.1,10.6,7.03
2. RB Leipzig,14.6,4.5,1.3,8.9,6.96
3. Borussia Dortmund,13.2,4.4,1,7.9,6.93
4. Bayer Leverkusen,15.2,5.5,0.8,8.9,6.88
5. Hoffenheim,18,6.5,1.7,9.8,6.87
6. Eintracht Frankfurt,12.4,3.7,1.1,7.6,6.83
7. Wolfsburg,12.5,4.6,0.8,7.1,6.81
8. Borussia M.Gladbach,13.5,5.1,0.7,7.7,6.76
9. Werder Bremen,13.9,5,1,7.9,6.75
10. Hertha Berlin,11.9,3.8,1.1,7,6.74
11. Mainz 05,14.6,6.2,1,7.4,6.70
12. Fortuna Duesseldorf,12.3,4.7,0.8,6.8,6.67
13. Augsburg,13.4,5,0.7,7.6,6.65
14. Schalke 04,12.2,4.6,0.6,6.9,6.65
15. Freiburg,12.5,5.6,0.7,6.2,6.64
16. VfB Stuttgart,12,4.8,1,6.2,6.57
17. Hannover 96,11.3,4.5,0.6,6.2,6.57
18. Nuernberg,10.6,4.9,0.6,5.1,6.49
