R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Fortuna Duesseldorf,20,1,56,483
2,Nuernberg,23,1,63,471
3,Freiburg,20,1,65,456
4,Mainz 05,19,1,68,430
5,VfB Stuttgart,19,1,64,429
6,Schalke 04,16,1,61,415
7,Hertha Berlin,20,2,62,414
8,Augsburg,18,2,67,413
9,Borussia M.Gladbach,17,1,59,409
10,Hannover 96,20,1,66,408
11,Eintracht Frankfurt,17,1,72,389
12,RB Leipzig,15,1,78,388
13,Werder Bremen,19,1,71,382
14,Borussia Dortmund,17,1,61,368
15,Hoffenheim,18,1,60,361
16,Wolfsburg,20,0,61,340
17,Bayer Leverkusen,15,1,62,329
18,Bayern Munich,9,0,61,279
