R,Team,Left Side,Attempts from the middle,Right Side
1,Toulouse,21%,60%,19%
2,Angers,21%,60%,19%
3,Saint-Etienne,20%,63%,17%
4,Paris Saint-Germain,20%,56%,24%
5,Nantes,20%,61%,19%
6,Nice,20%,63%,18%
7,Strasbourg,19%,65%,17%
8,Troyes,19%,66%,14%
9,Bordeaux,19%,62%,19%
10,Dijon,19%,63%,19%
11,Caen,19%,65%,16%
12,Lille,19%,67%,14%
13,Amiens,18%,66%,17%
14,Lyon,18%,64%,18%
15,Monaco,18%,63%,19%
16,Montpellier,18%,61%,20%
17,Metz,18%,69%,13%
18,Marseille,18%,67%,16%
19,Rennes,16%,63%,22%
20,Guingamp,12%,66%,22%
