R,Team,Left Side,Middle of the pitch,Right Side
1,Guingamp,41%,21%,38%
2,Saint-Etienne,40%,21%,39%
3,Troyes,40%,20%,40%
4,Nantes,40%,22%,38%
5,Caen,40%,24%,36%
6,Lyon,39%,23%,38%
7,Toulouse,39%,24%,37%
8,Amiens,39%,24%,37%
9,Montpellier,39%,20%,41%
10,Rennes,39%,19%,42%
11,Paris Saint-Germain,38%,26%,35%
12,Metz,38%,22%,40%
13,Angers,38%,23%,39%
14,Lille,36%,24%,41%
15,Nice,36%,30%,35%
16,Dijon,36%,25%,39%
17,Strasbourg,35%,23%,41%
18,Monaco,35%,24%,41%
19,Bordeaux,35%,23%,42%
20,Marseille,32%,22%,46%
