R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,75,8,10,7,8
2,Lyon,57,8,14,6,2
3,Monaco,57,3,16,7,2
4,Marseille,54,5,15,5,1
5,Bordeaux,37,2,9,4,1
6,Dijon,36,4,7,5,3
7,Rennes,32,0,10,6,2
8,Nice,32,3,9,8,1
9,Lille,31,2,6,2,0
10,Strasbourg,30,0,6,7,1
11,Montpellier,27,4,5,0,0
12,Saint-Etienne,26,5,7,7,2
13,Nantes,25,0,7,4,0
14,Guingamp,25,2,13,6,2
15,Amiens,23,3,7,3,1
16,Angers,22,3,12,4,1
17,Troyes,21,2,5,2,2
18,Metz,18,3,9,3,1
19,Toulouse,17,1,9,8,3
20,Caen,15,1,4,5,2
