R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Genoa,21,1,58,482
2,Sampdoria,20,0,59,466
3,Benevento,21,1,55,456
4,Cagliari,21,1,59,448
5,Udinese,18,0,54,448
6,Parma Calcio 1913,22,1,50,444
7,Inter,16,0,53,440
8,Crotone,20,1,58,432
9,Fiorentina,19,1,52,431
10,Torino,19,1,55,417
11,Roma,13,1,51,415
12,Lazio,17,0,58,396
13,Napoli,15,0,52,393
14,Atalanta,12,0,64,390
15,AC Milan,19,0,54,385
16,Bologna,19,1,55,381
17,Juventus,17,0,49,381
18,Spezia,14,1,62,381
19,Verona,17,0,65,375
20,Sassuolo,18,0,54,317
