R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Crotone,69,3,13,5,2
2,Parma Calcio 1913,56,4,17,3,3
3,Benevento,48,5,9,4,5
4,Spezia,45,6,12,9,0
5,Torino,44,5,11,9,0
6,Bologna,41,2,13,7,2
7,Genoa,41,1,7,7,2
8,Sassuolo,40,6,5,4,1
9,Cagliari,36,6,12,5,0
10,Roma,36,2,9,5,3
11,Udinese,35,2,7,14,0
12,Fiorentina,34,2,13,8,2
13,Sampdoria,33,4,9,7,1
14,Lazio,31,4,8,10,2
15,Napoli,30,1,4,5,1
16,Atalanta,30,4,7,5,1
17,Verona,28,1,11,6,2
18,AC Milan,23,2,12,3,1
19,Inter,21,2,6,5,1
20,Juventus,19,3,8,6,2
