R,Team,Own Third,Middle Third,Opposition Third
1,Crotone,33%,44%,24%
2,Benevento,31%,43%,25%
3,Parma Calcio 1913,31%,45%,24%
4,Bologna,30%,43%,28%
5,Genoa,30%,46%,24%
6,Torino,29%,45%,26%
7,Cagliari,29%,44%,27%
8,Sassuolo,29%,43%,29%
9,Udinese,28%,46%,26%
10,Juventus,28%,44%,29%
11,Sampdoria,28%,43%,29%
12,Verona,27%,45%,28%
13,Lazio,27%,45%,28%
14,Inter,27%,44%,29%
15,AC Milan,27%,44%,29%
16,Spezia,27%,45%,29%
17,Fiorentina,26%,45%,29%
18,Roma,25%,46%,29%
19,Napoli,25%,44%,30%
20,Atalanta,22%,44%,34%
