Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Juventus,77,15.7,766,26.5,88.3,11.4,6.85
2. Atalanta,90,16.3,663,29.6,83.5,16.8,6.84
3. AC Milan,74,14.7,804,51.4,84.0,15.2,6.82
4. Inter,89,14.5,592,52.0,87.0,11.8,6.81
5. Napoli,86,17,713,54.1,87.0,11.1,6.81
6. Roma,68,14.3,843,51.5,84.5,12.1,6.71
7. Sassuolo,64,13.9,744,31.3,87.8,10.9,6.67
8. Sampdoria,52,11.3,813,20.6,78.5,16.8,6.63
9. Lazio,61,13.8,1005,52.2,83.8,14.6,6.62
10. Torino,50,12.2,724,23.5,80.5,16.1,6.59
11. Verona,43,10.6,911,49.6,76.3,20.6,6.59
12. Cagliari,43,11.4,733,45.8,79.8,17.2,6.58
13. Bologna,51,13.1,784,50.7,81.5,15.1,6.56
14. Udinese,42,10.9,632,47.2,82.5,13.1,6.55
15. Genoa,47,9,852,18.0,79.7,13.7,6.54
16. Fiorentina,47,9.8,865,46.8,81.0,14.2,6.52
17. Spezia,52,10.2,925,30.5,81.1,14.4,6.50
18. Parma Calcio 1913,39,10.4,911,24.9,82.5,16.9,6.49
19. Crotone,45,9.5,854,15.6,80.4,12.7,6.43
20. Benevento,40,11,905,35.5,77.7,13.4,6.43
