R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,FC Koln,12%,53%,35%
2,Eintracht Frankfurt,10%,61%,29%
3,Augsburg,9%,54%,37%
4,Bayer Leverkusen,8%,56%,36%
5,Bayern Munich,8%,59%,33%
6,Freiburg,8%,60%,32%
7,Mainz 05,8%,57%,35%
8,Union Berlin,8%,61%,31%
9,Borussia Dortmund,7%,62%,30%
10,Hoffenheim,7%,58%,34%
11,Arminia Bielefeld,6%,53%,41%
12,Borussia M.Gladbach,6%,63%,31%
13,RB Leipzig,6%,59%,35%
14,Werder Bremen,5%,53%,42%
15,Wolfsburg,4%,56%,40%
16,VfB Stuttgart,4%,63%,33%
17,Schalke 04,4%,56%,39%
18,Hertha Berlin,4%,58%,38%
