R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Hoffenheim,9%,63%,29%
2,VfB Stuttgart,8%,56%,36%
3,Schalke 04,8%,59%,33%
4,Arminia Bielefeld,8%,60%,32%
5,Union Berlin,8%,57%,35%
6,RB Leipzig,8%,59%,33%
7,Borussia Dortmund,7%,52%,41%
8,Werder Bremen,7%,58%,35%
9,FC Koln,7%,61%,32%
10,Eintracht Frankfurt,7%,58%,35%
11,Mainz 05,7%,60%,33%
12,Hertha Berlin,7%,55%,38%
13,Wolfsburg,6%,65%,30%
14,Bayer Leverkusen,6%,59%,35%
15,Freiburg,6%,50%,44%
16,Augsburg,6%,61%,33%
17,Bayern Munich,5%,59%,36%
18,Borussia M.Gladbach,5%,59%,36%
