Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,99,17.1,443,58.1,85.5,12.9,6.95
2. Borussia Dortmund,75,14.6,431,57.5,85.5,12.8,6.84
3. Wolfsburg,61,14.1,563,51.0,78.0,16.9,6.80
4. RB Leipzig,60,16,570,57.3,83.2,18.6,6.78
5. Bayer Leverkusen,53,13,580,57.3,84.4,13.1,6.73
6. Eintracht Frankfurt,69,13.2,801,24.8,79.6,17.9,6.73
7. Borussia M.Gladbach,64,13.4,612,51.5,82.0,15.3,6.70
8. VfB Stuttgart,56,13.4,632,27.4,81.1,16.3,6.68
9. Hoffenheim,52,12.6,654,50.8,80.7,15.7,6.63
10. Union Berlin,50,11.7,552,20.9,76.2,17.6,6.62
11. Freiburg,52,11.4,630,47.5,78.1,17.5,6.60
12. Hertha Berlin,41,11.3,633,49.8,79.5,15.8,6.58
13. Mainz 05,39,11.1,611,42.7,71.3,18.3,6.57
14. Augsburg,36,9.9,654,44.0,73.6,16.8,6.56
15. Arminia Bielefeld,26,9.8,521,44.1,74.6,22.2,6.53
16. Werder Bremen,36,10.6,633,18.4,76.2,18.3,6.52
17. FC Koln,34,10.6,621,47.1,77.3,18.5,6.51
18. Schalke 04,25,8.9,702,46.2,76.5,15.6,6.41
