Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,10.1,15,11.7,9.3,2.2,6.95
2. Borussia Dortmund,11.1,15.2,12.1,10.6,2,6.84
3. Wolfsburg,10.5,17.5,14,13,2.3,6.80
4. RB Leipzig,7.8,13.5,10.4,12.8,2.4,6.78
5. Bayer Leverkusen,10.2,14.7,9.5,12.7,2.1,6.73
6. Eintracht Frankfurt,12.8,17.5,12.6,13.5,2,6.73
7. Borussia M.Gladbach,13.4,14.8,12.8,11.6,2.4,6.70
8. VfB Stuttgart,13.4,14.6,12.5,12.4,1.6,6.68
9. Hoffenheim,11.2,14.9,12.7,13,1.4,6.63
10. Union Berlin,10.8,14.8,11.9,12.8,2.5,6.62
11. Freiburg,14.8,12.7,13.3,12.9,1.6,6.60
12. Hertha Berlin,12.6,14.3,12.3,13.8,2.3,6.58
13. Mainz 05,13.3,17.4,14.7,14.7,1.7,6.57
14. Augsburg,14.4,15,13.4,11.6,2,6.56
15. Arminia Bielefeld,13.2,16.2,12.3,11.5,1.4,6.53
16. Werder Bremen,13.5,15.9,12,11.6,2,6.52
17. FC Koln,12.3,17.2,12.6,12.4,1.7,6.51
18. Schalke 04,17.3,16.2,12.1,12.2,2,6.41
