R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,11,2,47,666
2,Real Madrid,21,2,65,517
3,Sevilla,23,1,70,456
4,Real Sociedad,19,1,55,434
5,Real Betis,16,1,59,424
6,Villarreal,16,1,65,424
7,Celta Vigo,17,1,55,396
8,Valencia,18,1,61,382
9,Atletico Madrid,15,2,59,370
10,Athletic Bilbao,20,0,73,329
11,Levante,18,1,63,328
12,Espanyol,19,1,70,320
13,Mallorca,18,0,54,318
14,Osasuna,20,0,75,299
15,Real Valladolid,17,1,71,297
16,Leganes,20,1,67,279
17,Eibar,23,0,83,277
18,Deportivo Alaves,15,0,66,263
19,Granada,18,0,68,263
20,Getafe,22,1,82,228
