R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Espanyol,40,2,8,6,2
2,Mallorca,35,4,10,15,1
3,Eibar,35,8,8,4,1
4,Celta Vigo,34,0,10,5,0
5,Osasuna,34,3,12,5,0
6,Valencia,33,2,10,7,1
7,Levante,33,3,12,3,2
8,Real Betis,32,4,12,11,1
9,Deportivo Alaves,32,4,11,12,0
10,Real Sociedad,29,2,9,7,1
11,Leganes,29,2,13,6,1
12,Granada,27,6,8,4,0
13,Villarreal,27,1,11,8,2
14,Real Valladolid,26,2,8,7,0
15,Getafe,24,1,5,5,2
16,Barcelona,23,2,7,6,0
17,Athletic Bilbao,21,4,6,5,2
18,Sevilla,20,1,9,3,1
19,Real Madrid,16,2,5,2,0
20,Atletico Madrid,12,0,9,3,3
