Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Real Madrid,14.8,6.2,12.7,12.5,6.97
2. Barcelona,13,5.9,13.8,13.9,6.95
3. Sevilla,12.9,4.6,10.9,12.6,6.80
4. Atletico Madrid,11.8,3.8,9.1,12.6,6.78
5. Villarreal,13,4.6,11.3,11.1,6.75
6. Real Sociedad,11.3,3.8,9.3,12.9,6.69
7. Athletic Bilbao,10.8,3.6,8.9,11.5,6.67
8. Granada,10.4,3.3,7.9,13.1,6.65
9. Real Betis,12.6,4.2,11.7,15.2,6.61
10. Celta Vigo,9.7,3.8,9.7,13.9,6.61
11. Osasuna,12.2,3.9,8.3,10.8,6.61
12. Getafe,10.9,3.4,7.2,13,6.61
13. Valencia,8.9,3.2,9.1,14.3,6.60
14. Levante,11.2,3.7,10.2,12.1,6.60
15. Eibar,11.3,3.8,6.8,10.8,6.58
16. Real Valladolid,9.9,3.2,8.9,13.9,6.57
17. Leganes,11.4,3.9,9,13.2,6.55
18. Mallorca,11.1,3.4,10.3,13.8,6.52
19. Deportivo Alaves,8.2,2.8,6.6,11.4,6.52
20. Espanyol,10.8,3.3,7.4,12.3,6.47
