Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Real Madrid,70,14.8,764,57.1,86.9,14.1,6.97
2. Barcelona,86,13,866,63.2,88.8,12.5,6.95
3. Sevilla,54,12.9,961,55.9,83.0,20.4,6.80
4. Atletico Madrid,51,11.8,893,48.9,78.8,22.7,6.78
5. Villarreal,63,13,781,29.6,82.7,15.1,6.75
6. Real Sociedad,56,11.3,772,54.6,81.1,22.4,6.69
7. Athletic Bilbao,41,10.8,902,49.0,76.4,24.9,6.67
8. Granada,52,10.4,1071,45.2,71.3,20.4,6.65
9. Real Betis,48,12.6,1059,55.7,83.4,15.8,6.61
10. Celta Vigo,37,9.7,1006,51.3,80.5,17.7,6.61
11. Osasuna,46,12.2,1046,47.8,70.5,23.7,6.61
12. Getafe,43,10.9,1317,45.8,61.9,25,6.61
13. Valencia,46,8.9,758,49.4,81.7,15,6.60
14. Levante,47,11.2,715,48.8,77.9,14.1,6.60
15. Eibar,39,11.3,883,46.7,69.2,26.4,6.58
16. Real Valladolid,32,9.9,840,15.4,74.4,17.1,6.57
17. Leganes,30,11.4,1254,45.0,72.2,21.3,6.55
18. Mallorca,40,11.1,855,46.3,77.6,17.5,6.52
19. Deportivo Alaves,34,8.2,1057,43.2,70.2,24.5,6.52
20. Espanyol,27,10.8,959,47.5,74.6,21,6.47
