R,Team,Fouls,Unprofessional,Dive,Other
1,Getafe,106,10,0,24
2,Leganes,96,8,0,27
3,Osasuna,93,3,0,17
4,Deportivo Alaves,89,7,0,19
5,Granada,83,6,0,20
6,Real Betis,77,4,0,35
7,Espanyol,77,1,0,32
8,Sevilla,76,6,0,16
9,Celta Vigo,72,7,0,30
10,Atletico Madrid,71,8,0,15
11,Eibar,70,5,0,18
12,Barcelona,68,3,0,24
13,Athletic Bilbao,67,4,0,21
14,Real Valladolid,67,6,0,11
15,Real Madrid,66,6,0,11
16,Valencia,65,4,0,17
17,Villarreal,65,2,0,12
18,Real Sociedad,63,4,0,14
19,Mallorca,62,4,0,28
20,Levante,58,6,0,16
