R,Team,Left Side,Middle of the pitch,Right Side
1,Osasuna,43%,25%,32%
2,Real Madrid,41%,23%,36%
3,Real Valladolid,41%,23%,36%
4,Levante,41%,23%,36%
5,Real Betis,40%,23%,37%
6,Deportivo Alaves,40%,23%,38%
7,Getafe,40%,23%,37%
8,Villarreal,40%,25%,35%
9,Leganes,39%,23%,38%
10,Mallorca,38%,27%,35%
11,Athletic Bilbao,38%,21%,41%
12,Eibar,38%,24%,39%
13,Sevilla,37%,23%,40%
14,Atletico Madrid,36%,27%,37%
15,Celta Vigo,36%,26%,39%
16,Real Sociedad,35%,27%,39%
17,Valencia,34%,27%,39%
18,Espanyol,34%,29%,38%
19,Barcelona,34%,31%,34%
20,Granada,34%,23%,43%
