R,Team,Left Side,Attempts from the middle,Right Side
1,Valencia,23%,59%,18%
2,Espanyol,23%,62%,15%
3,Deportivo Alaves,22%,66%,13%
4,Real Madrid,21%,62%,17%
5,Real Betis,21%,65%,14%
6,Sevilla,21%,63%,16%
7,Real Sociedad,21%,63%,15%
8,Leganes,21%,67%,11%
9,Barcelona,20%,61%,19%
10,Osasuna,20%,65%,15%
11,Villarreal,20%,64%,15%
12,Atletico Madrid,18%,64%,18%
13,Celta Vigo,18%,69%,12%
14,Eibar,18%,63%,19%
15,Granada,18%,63%,19%
16,Athletic Bilbao,17%,68%,15%
17,Levante,17%,64%,18%
18,Mallorca,16%,66%,18%
19,Getafe,16%,68%,16%
20,Real Valladolid,14%,69%,18%
