R,Team,Left Side,Attempts from the middle,Right Side
1,Real Madrid,25%,64%,11%
2,Real Betis,25%,57%,18%
3,Real Valladolid,25%,60%,15%
4,Levante,24%,60%,16%
5,Sevilla,23%,61%,16%
6,Mallorca,21%,62%,17%
7,Villarreal,21%,63%,16%
8,Granada,20%,66%,14%
9,Athletic Bilbao,19%,61%,20%
10,Deportivo Alaves,19%,67%,13%
11,Leganes,18%,65%,17%
12,Celta Vigo,17%,63%,21%
13,Osasuna,17%,64%,19%
14,Atletico Madrid,16%,71%,12%
15,Valencia,16%,66%,18%
16,Espanyol,16%,67%,17%
17,Getafe,16%,66%,18%
18,Barcelona,15%,69%,16%
19,Eibar,15%,70%,15%
20,Real Sociedad,14%,70%,17%
