R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Deportivo Alaves,18,1,70,416
2,Valencia,22,1,57,414
3,Mallorca,19,1,60,413
4,Real Valladolid,21,1,60,413
5,Leganes,17,1,73,399
6,Atletico Madrid,19,0,71,393
7,Granada,19,1,64,381
8,Espanyol,17,1,68,375
9,Athletic Bilbao,20,1,66,366
10,Villarreal,22,1,64,366
11,Levante,23,1,63,361
12,Celta Vigo,21,1,60,358
13,Eibar,17,1,80,356
14,Osasuna,18,1,73,354
15,Real Madrid,16,1,57,347
16,Getafe,13,1,79,326
17,Sevilla,16,1,62,317
18,Real Sociedad,16,1,66,313
19,Real Betis,19,1,63,305
20,Barcelona,15,1,52,294
