R,Team,Own Third,Middle Third,Opposition Third
1,Levante,33%,41%,26%
2,Valencia,32%,44%,24%
3,Celta Vigo,31%,45%,25%
4,Real Valladolid,30%,47%,24%
5,Villarreal,30%,44%,25%
6,Mallorca,29%,43%,27%
7,Real Betis,29%,42%,27%
8,Espanyol,29%,45%,26%
9,Real Sociedad,28%,45%,28%
10,Granada,28%,44%,28%
11,Athletic Bilbao,27%,44%,28%
12,Atletico Madrid,27%,47%,27%
13,Sevilla,27%,43%,28%
14,Deportivo Alaves,27%,47%,25%
15,Real Madrid,26%,44%,31%
16,Osasuna,26%,45%,28%
17,Leganes,26%,45%,28%
18,Barcelona,25%,45%,30%
19,Eibar,23%,41%,35%
20,Getafe,22%,45%,33%
