Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Real Madrid,14.8,5.7,1.2,7.9,6.97
2. Barcelona,13,4.6,0.9,7.5,6.95
3. Sevilla,12.9,3.8,1.1,8,6.80
4. Atletico Madrid,11.8,4.1,0.9,6.8,6.78
5. Villarreal,13,4.8,0.8,7.3,6.75
6. Real Sociedad,11.3,3.9,0.8,6.6,6.69
7. Athletic Bilbao,10.8,4.4,0.7,5.8,6.67
8. Granada,10.4,4.4,0.9,5,6.65
9. Osasuna,12.2,4.7,1.1,6.3,6.61
10. Celta Vigo,9.7,3.8,0.5,5.4,6.61
11. Real Betis,12.6,4.7,0.9,7,6.61
12. Getafe,10.9,4.1,0.8,6.1,6.61
13. Valencia,8.9,3.2,0.7,5,6.60
14. Levante,11.2,4.7,1,5.6,6.60
15. Eibar,11.3,4.7,0.8,5.8,6.58
16. Real Valladolid,9.9,4.6,0.5,4.8,6.57
17. Leganes,11.4,4.8,0.6,6,6.55
18. Mallorca,11.1,4.7,0.7,5.6,6.52
19. Deportivo Alaves,8.2,2.3,0.8,5.1,6.52
20. Espanyol,10.8,4.5,0.7,5.6,6.47
