R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Nancy,8%,40%,51%
2,Troyes,7%,51%,42%
3,Sochaux,6%,47%,47%
4,Lorient,6%,47%,47%
5,Lyon,6%,52%,42%
6,Paris Saint-Germain,6%,60%,34%
7,Rennes,6%,48%,47%
8,Lille,6%,44%,50%
9,Nice,6%,51%,43%
10,Reims,6%,52%,43%
11,Saint-Etienne,5%,56%,38%
12,Bordeaux,5%,46%,49%
13,Marseille,5%,50%,44%
14,Montpellier,5%,50%,45%
15,AC Ajaccio,5%,49%,46%
16,Brest,5%,43%,52%
17,SC Bastia,4%,56%,41%
18,Toulouse,4%,54%,42%
19,Valenciennes,4%,46%,50%
20,Thonon Evian Grand Geneve,2%,49%,48%
