R,Team,Own Third,Middle Third,Opposition Third
1,Troyes,30%,44%,26%
2,AC Ajaccio,30%,45%,25%
3,Reims,30%,43%,27%
4,Sochaux,29%,47%,25%
5,Brest,29%,46%,24%
6,Nancy,28%,46%,26%
7,SC Bastia,28%,46%,25%
8,Saint-Etienne,27%,47%,26%
9,Thonon Evian Grand Geneve,27%,46%,27%
10,Valenciennes,27%,45%,28%
11,Rennes,26%,45%,30%
12,Bordeaux,26%,47%,27%
13,Paris Saint-Germain,26%,47%,27%
14,Nice,26%,49%,24%
15,Lyon,25%,48%,27%
16,Lille,25%,48%,27%
17,Toulouse,25%,45%,30%
18,Montpellier,25%,48%,27%
19,Marseille,25%,45%,30%
20,Lorient,24%,48%,28%
