R,Team,Left Side,Middle of the pitch,Right Side
1,Marseille,42%,20%,38%
2,Lorient,40%,24%,36%
3,Saint-Etienne,39%,24%,37%
4,SC Bastia,39%,25%,36%
5,Bordeaux,38%,28%,34%
6,Montpellier,38%,25%,37%
7,Nancy,37%,27%,36%
8,Toulouse,37%,24%,38%
9,Sochaux,36%,26%,38%
10,Brest,36%,26%,38%
11,Thonon Evian Grand Geneve,36%,26%,38%
12,Reims,36%,21%,43%
13,Troyes,35%,27%,38%
14,Paris Saint-Germain,35%,30%,35%
15,Nice,35%,29%,36%
16,AC Ajaccio,34%,26%,39%
17,Valenciennes,34%,26%,40%
18,Lyon,33%,28%,39%
19,Rennes,31%,33%,37%
20,Lille,31%,27%,41%
