R,Team,Left Side,Attempts from the middle,Right Side
1,Toulouse,24%,60%,16%
2,Paris Saint-Germain,24%,56%,21%
3,Valenciennes,23%,57%,20%
4,AC Ajaccio,22%,60%,18%
5,Troyes,21%,63%,17%
6,Bordeaux,21%,57%,23%
7,Reims,21%,59%,20%
8,Lorient,20%,59%,21%
9,Montpellier,20%,65%,15%
10,Nice,20%,59%,20%
11,Lyon,19%,62%,19%
12,Saint-Etienne,19%,64%,17%
13,Lille,19%,65%,16%
14,Thonon Evian Grand Geneve,19%,64%,17%
15,Brest,19%,64%,16%
16,Nancy,18%,60%,21%
17,Marseille,18%,64%,17%
18,Rennes,18%,60%,22%
19,Sochaux,17%,63%,20%
20,SC Bastia,16%,68%,16%
