Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,12.6,19.4,18.2,12.3,3.7,7.07
2. Saint-Etienne,10.1,19.4,19.5,13.3,2.8,6.92
3. Marseille,9.3,19.1,14.8,13.4,2.8,6.89
4. Lyon,10.4,19,17.6,15.1,2.9,6.88
5. Lorient,11.3,17.9,21.6,11.3,3.3,6.86
6. Montpellier,10.8,17.7,22,15.8,2.7,6.86
7. Toulouse,11.2,20.9,17.3,17,2.6,6.85
8. Bordeaux,10.2,18.9,16.8,12.9,2.3,6.85
9. Sochaux,13.6,17.9,21.6,13.4,2.1,6.83
10. Nancy,13.1,20.6,18.6,14.8,2.9,6.82
11. Lille,9.1,16,19.6,14,3.2,6.82
12. Rennes,10.8,18.6,17.2,12.8,2.7,6.79
13. Nice,10.8,19,11.7,14.8,2.6,6.76
14. Valenciennes,13.7,17.8,17.5,14.7,2.7,6.76
15. Troyes,14.6,21.5,15.3,13.2,3.3,6.73
16. Reims,15.1,19,16.5,13.9,3.4,6.72
17. AC Ajaccio,12.9,17.9,15.2,15,3.6,6.70
18. Thonon Evian Grand Geneve,11.8,17.9,13.2,14.3,1.6,6.69
19. Brest,13.2,19.5,18.6,15.6,2.2,6.68
20. SC Bastia,13,16.9,19.1,13.6,2,6.67
