R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,SC Bastia,42,3,14,7,0
2,Nancy,37,3,14,3,1
3,Brest,37,2,18,2,3
4,Troyes,36,3,15,2,5
5,Lorient,36,8,9,5,0
6,Montpellier,35,7,7,2,0
7,Thonon Evian Grand Geneve,35,1,11,4,2
8,Rennes,34,2,16,4,3
9,Toulouse,30,4,10,1,2
10,Valenciennes,30,6,12,4,1
11,Sochaux,28,3,19,5,2
12,AC Ajaccio,28,6,11,2,4
13,Reims,28,1,9,2,2
14,Nice,24,4,13,4,1
15,Lille,23,3,10,2,2
16,Lyon,22,4,7,5,0
17,Saint-Etienne,19,2,9,2,0
18,Marseille,18,2,11,3,2
19,Bordeaux,17,2,10,4,1
20,Paris Saint-Germain,10,4,5,1,3
