Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,13.5,4.6,0.1,8.9,7.07
2. Saint-Etienne,12.5,4.7,0,7.8,6.92
3. Marseille,13.7,6,0,7.7,6.89
4. Lyon,12.4,5.1,0,7.3,6.88
5. Montpellier,12.8,5.5,0,7.3,6.86
6. Lorient,12.7,5.6,0,7.1,6.86
7. Toulouse,11.8,4.7,0,7.1,6.85
8. Bordeaux,13,6.1,0,6.9,6.85
9. Sochaux,10.1,4.4,0.1,5.6,6.83
10. Nancy,12.5,6.2,0,6.3,6.82
11. Lille,14.1,7,0.1,7.1,6.82
12. Rennes,12.1,5.5,0.1,6.6,6.79
13. Valenciennes,11.6,5.7,0.1,5.9,6.76
14. Nice,10.7,4.2,0,6.5,6.76
15. Troyes,10.1,4.1,0.1,5.8,6.73
16. Reims,10.1,4,0.1,6,6.72
17. AC Ajaccio,10.7,4.7,0.1,6,6.70
18. Thonon Evian Grand Geneve,11.5,5.4,0,6.1,6.69
19. Brest,10.9,5.4,0,5.5,6.68
20. SC Bastia,10.9,4.3,0,6.6,6.67
