Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,89,20.1,281,64.5,85.9,13,7.02
2. Borussia Dortmund,76,13.7,551,59.4,83.9,12.5,6.79
3. RB Leipzig,65,12.9,430,56.5,82.7,14.7,6.79
4. Bayer Leverkusen,68,13.7,622,53.9,81.8,13.2,6.76
5. Freiburg,49,13.4,290,47.7,75.7,20.3,6.71
6. Borussia M.Gladbach,40,15.2,570,54.9,81.7,15.1,6.65
7. Mainz 05,43,13.9,533,46.0,73.5,18.5,6.65
8. FC Koln,44,13.4,561,54.3,77.5,18.1,6.65
9. Eintracht Frankfurt,40,13.1,571,49.6,75.3,17.3,6.62
10. Hoffenheim,50,13.4,680,53.7,80.7,14.7,6.62
11. VfB Stuttgart,36,12.7,542,51.3,81.0,16.5,6.60
12. Union Berlin,40,12.1,521,43.3,73.9,17.8,6.60
13. Wolfsburg,34,12.5,533,51.1,78.3,18.7,6.59
14. Bochum,30,12,472,43.4,71.1,19.3,6.59
15. Augsburg,34,11,650,40.4,71.5,17.1,6.52
16. Arminia Bielefeld,23,10.7,462,39.3,71.5,20,6.50
17. Hertha Berlin,32,11.1,552,44.1,75.4,16.4,6.47
18. Greuther Fuerth,24,9.5,550,42.4,74.2,14.9,6.40
