Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,20.1,8.1,14.5,10.7,7.02
2. Borussia Dortmund,13.7,5.4,10.2,11.5,6.79
3. RB Leipzig,12.9,5.2,10.5,12.6,6.79
4. Bayer Leverkusen,13.7,5.7,12,9.8,6.76
5. Freiburg,13.4,4.9,6.8,11.1,6.71
6. Borussia M.Gladbach,15.2,5.3,11,14.2,6.65
7. Mainz 05,13.9,4.6,7.6,11.2,6.65
8. FC Koln,13.4,4.2,7.5,13.5,6.65
9. Eintracht Frankfurt,13.1,4,8.5,9.1,6.62
10. Hoffenheim,13.4,4.4,7.4,10.5,6.62
11. VfB Stuttgart,12.7,4.3,11.1,12.6,6.60
12. Union Berlin,12.1,4.4,7.2,9.7,6.60
13. Wolfsburg,12.5,4.1,9.8,12.5,6.59
14. Bochum,12,3.9,6.7,11.4,6.59
15. Augsburg,11,3.8,7.4,10.3,6.52
16. Arminia Bielefeld,10.7,3.3,8.3,9.1,6.50
17. Hertha Berlin,11.1,3.8,8.4,12.7,6.47
18. Greuther Fuerth,9.5,3.2,7.9,12.5,6.40
